description,class,class_reason,tool,is_invasive
VIDEO OROPHARYNGEAL SWALLOW,Head,Videofluoroscopic swallow studies use real-time X-ray (fluoroscopy) to evaluate swallowing and are non-invasivehttps://www.radiologyinfo.org/en/info/modbariumswallow#:~:text=What%20is%20a%20Video%20Fluoroscopic,VFSE.,No
CTA CHEST W&W/O C &RECONS,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",CT,No
"US ABD LIMIT, SINGLE ORGAN",Abdomen,The description involves imaging of abdominal organs or the general abdomen.,Ultrasound,No
P BABYGRAM (CHEST ONLY) PORT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
CT PELVIS W/CONTRAST,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,CT,No
P LIVER OR GALLBLADDER US (SINGLE ORGAN) PORT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,Ultrasound,No
CTA ABD W&W/O C & RECONS,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,CT,No
CT ABD & PELVIS WITH CONTRAST,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,CT,No
NASO-INTESTINAL TUBE PLACEMENT (W/FLUORO),Genitourinary,The description involves imaging of the urinary or reproductive organs.,Interventional Procedure,Yes
DUPLEX DOPP ABD/PEL,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No
CT SINUS/MANDIBLE/MAXILLOFACIAL W/O CONTRAST,Head,CT scans use X-rays to produce cross-sectional images of the head and are painless and non-invasivehttps://www.radiologyinfo.org/en/info/headct#:~:text=Computed%20tomography%20,enough%20to%20help%20save%20liveshttps://www.radiologyinfo.org/en/info/headct#:~:text=,No
PARACENTESIS DIAG. OR THERAPEUTIC,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,Interventional Procedure,Yes
P BILAT LOWER EXT VEINS PORT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
T-SPINE,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No
P BABYGRAM CHEST & ABD (TOGETHER ONE FILM) PORT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
DISTINCT PROCEDURAL SERVICE,Irrelevant,"Billing or procedural modifier code, not an imaging exam",,No
TRAUMA #2 (AP CXR & PELVIS PORT),Pelvis,The description involves imaging of the pelvic bones or pelvic region.,X-ray,No
VEN DUP EXTEXT BIL (MAP/DVT),Vascular,Venous duplex ultrasound uses sound waves to image veins and detect thrombosis; ultrasound is safe and non-invasivehttps://www.radiologyinfo.org/en/info/genus#:~:text=Ultrasound%20imaging%20uses%20sound%20waves,and%20does%20not%20use%20radiation.,No
L-SPINE (AP & LAT),Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No
FDG TUMOR IMAGING (PET-CT),Whole-body/Polytrauma,FDG PET/CT combines positron emission tomography with CT to image the whole body and is non-invasivehttps://www.radiologyassociatesimaging.com/petct-index#:~:text=PET%2FCT%20is%20a%20special%20non,are%20located%20in%20your%20body.,No
CT PELVIS W/O CONTRAST,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,CT,No
L UNILAT LOWER EXT VEINS LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
R UNILAT LOWER EXT VEINS RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
L UNILAT UP EXT VEINS US LEFT,Vascular,The description involves imaging of blood vessels or vascular structures.,Ultrasound,No
CT HEAD W/ & W/O CONTRAST,Head,The description involves imaging of the head or skull.,CT,No
R UNILAT UP EXT VEINS US RIGHT,Vascular,The description involves imaging of blood vessels or vascular structures.,Ultrasound,No
ABDOMEN (SUPINE ONLY),Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No
MR CERVICAL SPINE W/O CONTRAST,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",MRI,No
P RENAL U.S. PORT,Genitourinary,The description involves imaging of the urinary or reproductive organs.,Ultrasound,No
PELVIS (AP ONLY),Pelvis,The description involves imaging of the pelvic bones or pelvic region.,X-ray,No
CT ABD & PELVIS W/O CONTRAST,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,CT,No
C-SPINE NON-TRAUMA 2-3 VIEWS,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No
P ABDOMEN (SUPINE ONLY) PORT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No
L HIP UNILAT MIN 2 VIEWS LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
ERCP BILIARY&PANCREAS BY GI UNIT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No
"R FOOT AP,LAT & OBL RIGHT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
TUNNELED W/O PORT,Vascular,"Insertion of a tunneled central venous catheter is a vascular interventional procedure requiring catheter placement under imaging guidance, which is invasivehttps://www.aafp.org/pubs/afp/issues/2019/0501/p547.html#:~:text=Placement%20of%20Indwelling%20Catheters%20and,Ports.",Interventional Procedure,Yes
MRI ABDOMEN W/O & W/CONTRAST,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,MRI,No
MR C-SPINE W& W/O CONTRAST,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",MRI,No
SEL CATH 3RD ORDER THOR,Vascular,"Selective catheterization of thoracic vessels is part of an angiogram, which involves inserting a catheter into blood vessels and injecting contrasthttps://my.clevelandclinic.org/health/diagnostics/4977-angiography#:~:text=During%20an%20angiogram%20procedure%2C%20your,provider%20will.",Interventional Procedure,Yes
R HIP UNILAT MIN 2 VIEWS RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
CT NECK W/CONTRAST (EG:PAROTIDS),Neck,The description involves imaging of the neck or cervical region.,CT,No
MR L-SPINE W & W/O CONTRAST,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",MRI,No
"L FOOT AP,LAT & OBL LEFT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
BONE SCAN,Whole-body/Polytrauma,Bone scintigraphy is a nuclear medicine test that uses a small amount of radiotracer and is non-invasive aside from the injectionhttps://www.radiologyinfo.org/en/info/bone-scan#:~:text=A%20bone%20scan%20,disease%20in%20its%20earliest%20stageshttps://www.radiologyinfo.org/en/info/bone-scan#:~:text=Nuclear%20medicine%20imaging%20procedures%20are,No
PERSANTINE MIBI,Cardiothoracic,Persantine MIBI is a myocardial perfusion scan (nuclear medicine) used to assess heart blood flow and is non-invasive.,Nuclear Medicine,No
EXERCISE MIBI,Cardiothoracic,Exercise MIBI is a stress nuclear perfusion scan of the heart and is non-invasive.,Nuclear Medicine,No
CVL/PICC,Vascular,Placement or maintenance of a central venous line/peripherally inserted central catheter is a vascular interventional procedure and is invasivehttps://www.aafp.org/pubs/afp/issues/2019/0501/p547.html#:~:text=Placement%20of%20Indwelling%20Catheters%20and,Ports.,Yes
TRAUMA #3 (PORT CHEST ONLY),Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
NON-TUNNELED,Vascular,"Insertion of a non-tunneled central venous catheter is a vascular interventional procedure and requires catheter insertion, which is invasivehttps://www.aafp.org/pubs/afp/issues/2019/0501/p547.html#:~:text=Placement%20of%20Indwelling%20Catheters%20and,Ports.",Interventional Procedure,Yes
CT L-SPINE W/O CONTRAST,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",CT,No
CT T-SPINE W/O CONTRAST,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",CT,No
MR CERVICAL SPINE,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",MRI,No
P BABYGRAM AP ABD ONLY PORT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No
ART EXT (REST ONLY),Vascular,"Arterial extremity studies at rest are arterial duplex ultrasound exams to evaluate arteries, which use ultrasound and are non-invasivehttps://www.radiologyinfo.org/en/info/genus#:~:text=Ultrasound%20imaging%20uses%20sound%20waves,and%20does%20not%20use%20radiation.",Ultrasound,No
MR HEAD W/ CONTRAST,Head,The description involves imaging of the head or skull.,MRI,No
P ABDOMEN (SUPINE & ERECT) PORT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,CT,No
L FEMUR (AP & LAT) LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
RENAL TRANSPLANT U.S.,Genitourinary,The description involves imaging of the urinary or reproductive organs.,Ultrasound,No
"L SHOULDER (AP, NEUTRAL & AXILLARY) TRAUMA LEFT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
ESOPHAGUS,Chest,An esophagram (barium swallow) uses fluoroscopy (real-time X-ray) to evaluate the esophagus and is non-invasivehttps://www.radiologyinfo.org/en/info/modbariumswallow#:~:text=What%20is%20a%20Video%20Fluoroscopic,VFSE.,No
L WRIST(3 + VIEWS) LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
R FEMUR (AP & LAT) RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
UNILAT UP EXT VEINS US,Vascular,The description involves imaging of blood vessels or vascular structures.,X-ray,No
EXCH PERPHERAL W/O PORT,Vascular,Exchange of a peripheral catheter involves removing and inserting a catheter into a vein; it is a vascular interventional procedure and invasivehttps://www.aafp.org/pubs/afp/issues/2019/0501/p547.html#:~:text=Placement%20of%20Indwelling%20Catheters%20and,Ports.,Yes
FLUORO GUID PLCT/REPLCT/REMOVE CENTRAL LINE,Vascular,Fluoroscopic guidance for placement/replacement/removal of a central line is part of catheter-based vascular access and is invasivehttps://www.aafp.org/pubs/afp/issues/2019/0501/p547.html#:~:text=Placement%20of%20Indwelling%20Catheters%20and,Ports.,Yes
"R SHOULDER (AP, NEUTRAL & AXILLARY) TRAUMA RIGHT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
BABYGRAM CHEST & ABD (TOGETHER ONE FILM),Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
BX-NEEDLE LIVER BY RADIOLOGIST,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,Interventional Procedure,Yes
"L ANKLE (AP, MORTISE & LAT) LEFT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
DIG SCREENING BILAT,Breast,Digital screening mammography uses low-dose X-ray to image both breasts and is non-invasivehttps://www.radiologyinfo.org/en/info/mammo#:~:text=Screening%20mammography%20is%20a%20specific,when%20it%20is%20most%20treatablehttps://www.radiologyinfo.org/en/info/mammo#:~:text=Mammography%20is%20specialized%20medical%20imaging,No
R WRIST(3 + VIEWS) RIGHT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
L TIB/FIB (AP & LAT) LEFT,MSK Lower Limb,"This is a radiograph of the left tibia and fibula using X-ray, which is non-invasivefile:///home/oai/redirect.html#:~:text=Overview.",X-ray,No
CTA NECK W&W/OC & RECONS,Neck,The description involves imaging of the neck or cervical region.,CT,No
"R ANKLE (AP, MORTISE & LAT) RIGHT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
ART DUP EXT LO UNI;F/U,Vascular,An arterial duplex ultrasound of the lower extremity evaluates blood flow using ultrasound and is non-invasivehttps://www.radiologyinfo.org/en/info/genus#:~:text=Ultrasound%20imaging%20uses%20sound%20waves,and%20does%20not%20use%20radiation.,No
"R KNEE (AP, LAT & OBLIQUE) RIGHT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
MRCP (MR ABD W&W/OC),Abdomen,The description involves imaging of abdominal organs or the general abdomen.,MRI,No
P BABYGRAM (CHEST & ABDOMEN) PORT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
R TIB/FIB (AP & LAT) RIGHT,MSK Lower Limb,"This is a radiograph of the right tibia and fibula using X-ray, which is non-invasivefile:///home/oai/redirect.html#:~:text=Overview.",X-ray,No
LUNG SCAN,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",Nuclear Medicine,Yes
MRA BRAIN W/O CONTRAST,Neural,"The description mentions brain or neurological structures, so it is categorized as Neural.",MRI,No
MR L SPINE W/O CONTRAST,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",MRI,No
CT 100CC NON IONIC CONTRAST,Irrelevant,Contrast supply code rather than imaging exam,,No
ERCP S&I (74330),Abdomen,Radiologic supervision and interpretation for ERCP involves fluoroscopy to examine the bile and pancreatic ducts and is invasive because it uses an endoscope and catheter to inject contrasthttps://my.clevelandclinic.org/health/diagnostics/4977-angiography#:~:text=During%20an%20angiogram%20procedure%2C%20your,provider%20will.,Yes
EMBO TRANSCRANIAL,Vascular,Transcranial embolization is an endovascular procedure using catheter-directed embolic agents to treat vascular lesions; it involves catheter insertion and is invasivehttps://my.clevelandclinic.org/health/diagnostics/4977-angiography#:~:text=During%20an%20angiogram%20procedure%2C%20your,provider%20will.,Yes
MR T-SPINE W &W/O CONTRAST,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",MRI,No
"L KNEE (AP, LAT & OBLIQUE) LEFT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
P ABDOMEN U.S. (COMPLETE STUDY) PORT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,Ultrasound,No
"PELVIS, NON-OBSTETRIC",Pelvis,The description involves imaging of the pelvic bones or pelvic region.,X-ray,No
P CAROTID SERIES COMPLETE PORT,Neck,The description involves imaging of the neck or cervical region.,X-ray,No
EMBO NON NEURO,Neural,"The description mentions brain or neurological structures, so it is categorized as Neural.",X-ray,No
GI BLEEDING STUDY,Abdomen,"A GI bleeding scan uses radiolabeled red blood cells to localize bleeding and is a nuclear medicine test; aside from injection, it is non-invasivehttps://www.radiologyinfo.org/en/info/bone-scan#:~:text=A%20bone%20scan%20,disease%20in%20its%20earliest%20stageshttps://www.radiologyinfo.org/en/info/bone-scan#:~:text=Nuclear%20medicine%20imaging%20procedures%20are,These%20imaging%20scans%20use%20radioactive.",Nuclear Medicine,No
R FEMORAL VASCULAR US RIGHT,Vascular,The description involves imaging of blood vessels or vascular structures.,Ultrasound,No
"L HAND (AP, LAT & OBLIQUE) LEFT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
CT 150CC NONIONIC CONTRAST,Irrelevant,Contrast supply code rather than imaging exam,,No
"P US ABD LIMIT, SINGLE ORGAN PORT",Abdomen,The description involves imaging of abdominal organs or the general abdomen.,Ultrasound,No
CT RECONSTRUCTION,Irrelevant,"Image reconstruction service, not a separate radiology exam",,No
SEL CATH 2ND ORDER,Vascular,"Selective catheterization of a second-order vessel is part of angiography, which requires catheter insertion and contrast injectionhttps://my.clevelandclinic.org/health/diagnostics/4977-angiography#:~:text=During%20an%20angiogram%20procedure%2C%20your,provider%20will.",Interventional Procedure,Yes
INTERUP IVC,Vascular,Inferior vena cava filter placement is an interventional vascular procedure using a catheter inserted via a vein and guided with imaging,Interventional Procedure,Yes
PARACENTESIS DIAG/THERAP W IMAGING GUID,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,Yes
R KNEE (2 VIEWS) RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
CHALNAGIOGRAPHY VIA EXISTING CATHETER,Abdomen,Percutaneous cholangiography via a biliary catheter involves injecting contrast into the bile ducts and taking x‑ray images of the biliary tract,Fluoroscopy,Yes
GALLBLADDER SCAN,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No
O CHEST (SINGLE VIEW) IN O.R.,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
LUMBO-SACRAL SPINE (AP & LAT),Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No
DUPLEX DOP ABD/PEL LIMITED,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No
GUIDANCE/LOCALIZATION FOR NEEDLE BIOPSY US (S&I),Whole-body/Polytrauma,Ultrasound guidance for needle biopsy can be applied to various body sites; this description does not specify a single anatomic region.,Ultrasound,Yes
MR THORACIC SPINE W/O CONTRAST,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",MRI,No
CARDIAC PERFUSION PERSANTINE,Cardiothoracic,The procedure relates to the heart or thoracic vasculature.,X-ray,No
"C-SPINE, TRAUMA",Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No
THYROID U.S.,Neck,The description involves imaging of the neck or cervical region.,Ultrasound,No
CHANGE PERC BILIARY DRAINAGE CATHETER,Abdomen,Changing a percutaneous biliary drainage catheter involves percutaneous access to the bile ducts under imaging guidance,Interventional Procedure,Yes
ABDOMEN U.S. (PORTABLE),Abdomen,The description involves imaging of abdominal organs or the general abdomen.,Ultrasound,No
MR HEAD W/CNTRST&TUMOR VOLUMETRIC,Head,The description involves imaging of the head or skull.,MRI,No
L HUMERUS (AP & LAT) LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,Ultrasound,No
L KNEE (2 VIEWS) LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
P BABYGRAM (ABD ANY SGL VIEW) (74000) PORT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No
VENOUS DUP EXT UNI (MAP/DVT),Vascular,The description involves imaging of blood vessels or vascular structures.,Ultrasound,No
BILAT UP EXT VEINS US,Vascular,The description involves imaging of blood vessels or vascular structures.,X-ray,No
"BILAT HIPS (AP,LAT & AP PELVIS)",Pelvis,The description involves imaging of the pelvic bones or pelvic region.,X-ray,No
R HUMERUS (AP & LAT) RIGHT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,Ultrasound,No
"R HAND (AP, LAT & OBLIQUE) RIGHT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
O L-SPINE (AP & LAT) IN O.R.,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No
CT PELVIS ORTHO W/O C,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,CT,No
P PELVIS (AP ONLY) PORT,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,X-ray,No
CT HEAD W/ CONTRAST,Head,The description involves imaging of the head or skull.,CT,No
MR CONTRAST GADOLIN,Irrelevant,Contrast agent injection for MRI; not an imaging exam,,No
N-G TUBE PLACEMENT (W/ FLUORO),Abdomen,Fluoroscopy guides insertion of a nasogastric tube through the nose into the stomach for feeding or decompression,Fluoroscopy,Yes
CHEST (LAT DECUB ONLY),Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
BABYGRAM AP ABD ONLY,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No
CHEST FLUORO WITHOUT RADIOLOGIST,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
US GUID FOR VAS. ACCESS,Vascular,Ultrasound guidance is used to cannulate a vein for vascular access,Ultrasound,Yes
MR L SPINE SCAN,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",MRI,No
CARDIAC PERFUSION,Cardiothoracic,The procedure relates to the heart or thoracic vasculature.,X-ray,No
PERC PLCMT GASTROMY TUBE,Abdomen,Percutaneous gastrostomy tube placement introduces a feeding tube through the skin into the stomach under x‑ray guidance,Fluoroscopy,Yes
RP UNILAT UP EXT VEINS US RIGHT PORT,Vascular,The description involves imaging of blood vessels or vascular structures.,Ultrasound,No
R US EXTREMITY NONVASCULAR RIGHT,Vascular,The description involves imaging of blood vessels or vascular structures.,Ultrasound,No
SCROTAL U.S.,Genitourinary,Scrotal ultrasound uses sound waves to image the testicles and scrotal contents,Ultrasound,No
CHEST (PRE-OP AP ONLY),Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
FLUOR GUID PLCT/REPLCT/REMOVE,Vascular,Fluoroscopic guidance for placement/replacement/removal of catheters involves using x‑ray imaging to navigate a vascular catheter,Fluoroscopy,Yes
GUIDANCE FOR THORA/ABD/PARA CENTESIS US,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,Yes
R SHOULDER 2-3 VIEWS NON TRAUMA RIGHT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
CT NECK W/O CONTRAST (EG: PAROTIDS),Neck,The description involves imaging of the neck or cervical region.,CT,No
PLEURAL ASP BY RADIOLOGIST,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,Yes
C-SPINE NON-TRAUMA W/FLEX & EXT 4 VIEWS,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No
"L ELBOW (AP, LAT & OBLIQUE) LEFT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
L US EXTREMITY NONVASCULAR LEFT,Vascular,The description involves imaging of blood vessels or vascular structures.,Ultrasound,No
"R ELBOW (AP, LAT & OBLIQUE) RIGHT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
G/GJ/GI TUBE CHECK,Abdomen,Gastrostomy/gastrojejunostomy tube check uses x‑ray to confirm tube position via contrast through existing tube,X-ray,No
BABYGRAM (CHEST & ABDOMEN),Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
MR ABDOMEN W&W/O CONTRAST,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,MRI,No
CTA PELVIS W&W/O C & RECONS,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,CT,No
REMOVE TUNNELED CENTRAL W/O PORT,Vascular,Removal of a tunneled central venous catheter is performed by an interventional radiologist using image guidance,Interventional Procedure,Yes
R CT LOW EXT W/O C RIGHT,MSK Lower Limb,CT scan of the right lower extremity images the bones and soft tissues of the leg,CT,No
CHG NEPHROTOMY/PYLOSTOMY TUBE,Genitourinary,Changing a nephrostomy or pyelostomy tube involves percutaneously inserting a catheter into the kidney or ureter under imaging guidance,Interventional Procedure,Yes
CT UP EXT W/O C,MSK Upper Limb,CT scan of the upper extremity images the bones and soft tissues of the arm,CT,No
LP UNILAT UP EXT VEINS US LEFT PORT,Vascular,The description involves imaging of blood vessels or vascular structures.,Ultrasound,No
EA 1ST ORDER ABD/PEL/LOWER EXT A-GRAM,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,Angiography,No
CHEST CTA WITH CONTRAST,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",CT,No
C-SPINE FLEX AND EXT ONLY 2 VIEWS,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No
CT TRACHEA W/O C W/3D REND,Chest,CT of the trachea images the airway in the chest region,CT,No
L SHOULDER 2-3 VIEWS NON TRAUMA LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
MMS SUGICAL PLANNING SERVICE,Irrelevant,"Surgical planning service code, not an imaging exam",,No
UNILAT LOWER EXT VEINS,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
C-SPINE (PORTABLE),Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No
L FOREARM (AP & LAT) LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
MRI ABDOMEN W/O CONTRAST,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,MRI,No
O PORTABLE ABDOMEN IN O.R.,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No
LUMBAR SPINAL PUNCTURE,Spine,Lumbar puncture (spinal tap) inserts a needle between lumbar vertebrae to collect cerebrospinal fluid,Interventional Procedure,Yes
INITAL 2ND ORDER ABD/PEL/LOWER EXT A-GRAM,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,Angiography,No
BX-NEEDLE KIDNEY BY NEPHROLOGIST,Genitourinary,The description involves imaging of the urinary or reproductive organs.,Interventional Procedure,Yes
O CHEST FLUORO WITHOUT RADIOLOGIST IN O.R.,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
P CHEST (SINGLE VIEW) PORT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
R FOREARM (AP & LAT) RIGHT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
BAS/UGI AIR/SBFT,Abdomen,"Upper GI series with small bowel follow‑through uses fluoroscopy and contrast swallowed by the patient to image the esophagus, stomach and small intestine",Fluoroscopy,No
DIG DIAGNOSTIC MAMMO BILATERAL,Breast,The description involves imaging of the breasts.,Mammography,No
